Year,ZipCode,MedianValueSqft
2013,58196,131.33333333333334
2013,58197,171.5
2013,58200,104.5
2013,58201,128.66666666666666
2013,58202,114.66666666666667
2013,58204,120.66666666666667
2013,58205,87.83333333333333
2013,58207,115.0
2013,58209,126.66666666666667
2013,58211,111.25
2013,58212,116.08333333333333
2013,58213,154.83333333333334
2013,58214,139.25
2013,58216,142.33333333333334
2013,58219,141.16666666666666
2013,58220,136.33333333333334
2013,58221,173.91666666666666
2013,58222,141.33333333333334
2013,58224,171.25
2013,58226,101.83333333333333
2013,58228,118.25
2013,58229,153.5
2013,58230,136.25
2013,58231,131.66666666666666
2013,58234,180.25
2013,58236,171.66666666666666
2013,58239,115.25
2013,58242,111.75
2013,58243,146.66666666666666
2013,58244,145.0
2013,58246,141.66666666666666
2013,58247,143.75
2013,58250,124.08333333333333
2013,58251,96.0
2013,58252,90.58333333333333
2013,58254,132.66666666666666
2013,58257,131.5
2013,58259,90.75
2013,58262,137.58333333333334
2013,58263,139.25
2013,58265,126.58333333333333
2013,58269,82.91666666666667
2013,58270,45.5
2013,58271,150.66666666666666
2013,58272,80.75
2013,58273,73.41666666666667
2013,58274,64.91666666666667
2013,58279,105.66666666666667
2013,58280,104.66666666666667
2013,58281,122.75
2013,58282,115.16666666666667
2013,58287,85.5
2013,58291,106.66666666666667
2013,58294,87.91666666666667
2013,58296,132.25
2013,58298,104.25
2013,58299,96.33333333333333
2013,58302,172.66666666666666
2013,58303,122.83333333333333
2013,58306,148.41666666666666
2013,58307,156.41666666666666
2013,58311,209.66666666666666
2013,58312,80.33333333333333
2013,58315,185.75
2013,58316,139.83333333333334
2013,58318,153.08333333333334
2013,58322,202.08333333333334
2013,58325,182.41666666666666
2013,58326,152.16666666666666
2013,58327,108.33333333333333
2013,58328,112.5
2013,58330,129.0
2013,58331,80.83333333333333
2013,58332,127.58333333333333
2013,58333,116.33333333333333
2013,58334,108.58333333333333
2013,58335,101.16666666666667
2013,58336,147.33333333333334
2013,58339,116.83333333333333
2013,58344,125.5
2013,58345,113.25
2013,58347,109.08333333333333
2013,58348,102.58333333333333
2013,58349,104.0
2013,58351,92.25
2013,58352,115.16666666666667
2013,58353,143.0
2013,58354,140.25
2013,58355,118.25
2013,58359,99.91666666666667
2013,58360,119.66666666666667
2013,58361,120.25
2013,58362,159.5
2013,58366,100.08333333333333
2013,58368,172.33333333333334
2013,58370,127.75
2013,58371,128.0
2013,58372,199.58333333333334
2013,58373,133.83333333333334
2013,58374,135.0
2013,58375,127.0
2013,58377,104.5
2013,58378,123.5
2013,58382,127.41666666666667
2013,58383,118.25
2013,58384,95.0
2013,58386,147.5
2013,58387,174.83333333333334
2013,58388,140.08333333333334
2013,58389,159.83333333333334
2013,58390,122.91666666666667
2013,58391,124.08333333333333
2013,58394,131.0
2013,58395,130.33333333333334
2013,58396,134.25
2013,58398,136.16666666666666
2013,58399,170.33333333333334
2013,58400,150.75
2013,58401,134.25
2013,58402,147.25
2013,58403,162.83333333333334
2013,58404,118.5
2013,58407,142.83333333333334
2013,58408,136.25
2013,58410,189.41666666666666
2013,58411,155.0
2013,58412,114.08333333333333
2013,58413,164.08333333333334
2013,58414,112.91666666666667
2013,58416,133.33333333333334
2013,58417,138.58333333333334
2013,58418,124.58333333333333
2013,58420,189.58333333333334
2013,58422,98.25
2013,58423,157.16666666666666
2013,58425,124.83333333333333
2013,58426,147.91666666666666
2013,58427,132.08333333333334
2013,58428,171.16666666666666
2013,58429,144.25
2013,58431,128.25
2013,58433,179.41666666666666
2013,58435,149.25
2013,58436,110.75
2013,58438,142.75
2013,58439,158.91666666666666
2013,58441,117.75
2013,58442,106.75
2013,58443,119.58333333333333
2013,58444,124.0
2013,58445,127.66666666666667
2013,58446,113.25
2013,58448,122.91666666666667
2013,58449,84.16666666666667
2013,58450,111.41666666666667
2013,58451,133.41666666666666
2013,58458,210.41666666666666
2013,58465,226.83333333333334
2013,58467,290.1666666666667
2013,58469,178.16666666666666
2013,58470,229.41666666666666
2013,58471,311.8333333333333
2013,58473,205.16666666666666
2013,58474,127.5
2013,58475,209.0
2013,58476,177.08333333333334
2013,58477,168.5
2013,58478,182.16666666666666
2013,58479,152.08333333333334
2013,58480,140.08333333333334
2013,58481,250.33333333333334
2013,58482,229.66666666666666
2013,58483,218.5
2013,58484,291.8333333333333
2013,58485,195.58333333333334
2013,58486,260.0
2013,58487,277.75
2013,58489,238.41666666666666
2013,58490,232.91666666666666
2013,58495,208.66666666666666
2013,58499,179.5
2013,58501,201.41666666666666
2013,58502,161.83333333333334
2013,58503,159.58333333333334
2013,58504,131.66666666666666
2013,58506,133.58333333333334
2013,58507,184.25
2013,58509,134.0
2013,58511,92.0
2013,58513,134.25
2013,58514,141.75
2013,58515,196.08333333333334
2013,58516,107.0
2013,58517,128.66666666666666
2013,58518,134.16666666666666
2013,58520,132.08333333333334
2013,58521,155.75
2013,58522,176.83333333333334
2013,58523,178.58333333333334
2013,58524,229.91666666666666
2013,58527,235.5
2013,58528,198.75
2013,58529,150.25
2013,58530,222.58333333333334
2013,58532,217.58333333333334
2013,58533,228.58333333333334
2013,58536,299.25
2013,58539,137.58333333333334
2013,58541,168.08333333333334
2013,58542,150.91666666666666
2013,58543,195.16666666666666
2013,58544,200.75
2013,58545,240.16666666666666
2013,58547,160.0
2013,58548,199.41666666666666
2013,58549,202.41666666666666
2013,58550,188.58333333333334
2013,58551,186.41666666666666
2013,58553,230.91666666666666
2013,58557,201.91666666666666
2013,58558,212.5
2013,58559,282.0833333333333
2013,58560,256.0833333333333
2013,58561,218.33333333333334
2013,58562,248.5
2013,58563,237.83333333333334
2013,58564,173.25
2013,58565,186.33333333333334
2013,58568,266.3333333333333
2013,58569,193.5
2013,58570,175.75
2013,58572,235.25
2013,58573,224.16666666666666
2013,58574,224.41666666666666
2013,58575,181.5
2013,58577,154.75
2013,58579,216.0
2013,58580,254.25
2013,58581,238.33333333333334
2013,58583,248.25
2013,58585,217.83333333333334
2013,58586,199.33333333333334
2013,58587,190.83333333333334
2013,58590,302.4166666666667
2013,58592,202.16666666666666
2013,58594,191.0
2013,58595,194.83333333333334
2013,58597,243.0
2013,58598,189.33333333333334
2013,58599,185.25
2013,58601,194.0
2013,58604,228.58333333333334
2013,58605,236.0
2013,58607,235.91666666666666
2013,58608,227.33333333333334
2013,58611,159.66666666666666
2013,58612,214.08333333333334
2013,58613,290.6666666666667
2013,58614,185.41666666666666
2013,58622,819.4166666666666
2013,58623,643.5
2013,58624,723.0
2013,58625,729.8333333333334
2013,58627,626.9166666666666
2013,58628,688.25
2013,58629,705.5
2013,58630,810.0
2013,58632,654.0
2013,58633,173.66666666666666
2013,58634,269.75
2013,58635,132.0
2013,58636,226.33333333333334
2013,58638,189.33333333333334
2013,58639,231.83333333333334
2013,58640,175.58333333333334
2013,58641,422.25
2013,58642,225.16666666666666
2013,58643,486.0
2013,58644,326.1666666666667
2013,58645,241.5
2013,58646,269.1666666666667
2013,58648,348.1666666666667
2013,58649,358.9166666666667
2013,58650,203.0
2013,58652,515.0
2013,58653,479.1666666666667
2013,58654,440.0833333333333
2013,58655,487.0
2013,58656,561.75
2013,58657,370.0833333333333
2013,58658,394.5
2013,58659,289.0
2013,58660,203.0
2013,58661,178.33333333333334
2013,58662,165.08333333333334
2013,58663,162.33333333333334
2013,58664,196.33333333333334
2013,58666,252.08333333333334
2013,58669,225.25
2013,58670,244.41666666666666
2013,58671,256.4166666666667
2013,58672,230.75
2013,58673,214.75
2013,58674,208.08333333333334
2013,58676,264.9166666666667
2013,58678,202.41666666666666
2013,58679,192.5
2013,58680,195.58333333333334
2013,58681,202.66666666666666
2013,58692,539.0
2013,58695,604.8333333333334
2013,58710,117.5
2013,58711,125.58333333333333
2013,58715,164.08333333333334
2013,58716,165.33333333333334
2013,58721,228.83333333333334
2013,58725,162.66666666666666
2013,58726,210.16666666666666
2013,58729,164.83333333333334
2013,58732,145.83333333333334
2013,58733,159.66666666666666
2013,58737,168.0
2013,58739,188.25
2013,58742,165.33333333333334
2013,58743,162.0
2013,58746,182.33333333333334
2013,58748,154.0
2013,58749,174.66666666666666
2013,58750,158.5
2013,58751,178.91666666666666
2013,58752,152.5
2013,58754,154.5
2013,58755,358.9166666666667
2013,58756,370.4166666666667
2013,58757,435.5
2013,58758,466.8333333333333
2013,58760,236.25
2013,58761,235.91666666666666
2013,58762,252.75
2013,58767,346.75
2013,58768,373.25
2013,58769,341.5833333333333
2013,58770,362.0833333333333
2013,58772,322.8333333333333
2013,58773,354.75
2013,58774,340.3333333333333
2013,58775,367.8333333333333
2013,58776,399.5
2013,58778,295.6666666666667
2013,58779,291.0
2013,58781,305.5833333333333
2013,58783,363.0833333333333
2013,58785,415.1666666666667
2013,58786,402.5833333333333
2013,58787,346.5
2013,58788,384.25
2013,58789,338.75
2013,58791,166.66666666666666
2013,58793,614.75
2013,58794,196.75
2013,58795,183.66666666666666
2013,58796,158.0
2013,58797,372.6666666666667
2013,58798,257.3333333333333
2013,58804,572.5
2013,58805,243.25
2013,58806,313.5833333333333
2013,58811,169.5
2013,58814,318.0833333333333
2013,58815,153.25
2013,58818,371.75
2013,58819,145.41666666666666
2013,58821,173.66666666666666
2013,58822,225.16666666666666
2013,58823,226.75
2013,58824,188.91666666666666
2013,58825,326.5
2013,58827,212.75
2013,58830,250.83333333333334
2013,58831,248.16666666666666
2013,58833,264.25
2013,58835,163.5
2013,58836,213.25
2013,58839,184.58333333333334
2013,58840,198.08333333333334
2013,58841,350.0
2013,58844,284.25
2013,58845,257.3333333333333
2013,58846,480.1666666666667
2013,58847,284.6666666666667
2013,58848,207.91666666666666
2013,58852,202.75
2013,58853,324.0833333333333
2013,58854,297.6666666666667
2013,58855,196.75
2013,58857,258.4166666666667
2013,58860,190.41666666666666
2013,58861,204.0
2013,58863,155.25
2013,58867,162.25
2013,58869,145.16666666666666
2013,58870,165.33333333333334
2013,58871,119.08333333333333
2013,58872,122.5
2013,58874,115.75
2013,58875,113.0
2013,58876,149.66666666666666
2013,58877,159.91666666666666
2013,58878,194.75
2013,58879,205.33333333333334
2013,58880,103.08333333333333
2013,58883,135.66666666666666
2013,58884,129.91666666666666
2013,58885,137.5
2013,58886,115.33333333333333
2013,58887,165.25
2013,58888,184.25
2013,58889,174.66666666666666
2013,58891,184.91666666666666
2013,58892,178.16666666666666
2013,58893,159.16666666666666
2013,58897,162.58333333333334
2013,58898,165.08333333333334
2013,58899,161.16666666666666
2013,58900,161.5
2013,58901,170.58333333333334
2013,58902,137.33333333333334
2013,58904,186.66666666666666
2013,58908,132.16666666666666
2013,58909,199.08333333333334
2013,58910,592.4166666666666
2013,58911,145.83333333333334
2013,58912,167.41666666666666
2013,58913,145.75
2013,58914,196.41666666666666
2013,58915,131.33333333333334
2013,58917,138.83333333333334
2013,58918,126.33333333333333
2013,58919,157.0
2013,58920,154.08333333333334
2013,58923,136.33333333333334
2013,58925,136.33333333333334
2013,58926,147.75
2013,58928,133.41666666666666
2013,58929,139.16666666666666
2013,58930,143.33333333333334
2013,58932,271.4166666666667
2013,58935,130.0
2013,58937,242.16666666666666
2013,58939,204.0
2013,58940,162.66666666666666
2013,58942,133.66666666666666
2013,58944,131.16666666666666
2013,58946,120.41666666666667
2013,58948,84.5
2013,58949,147.75
2013,58950,148.16666666666666
2013,58951,199.83333333333334
2013,58954,176.08333333333334
2013,58958,168.83333333333334
2013,58959,186.0
2013,58961,161.83333333333334
2013,58962,238.66666666666666
2013,58964,164.83333333333334
2013,58965,134.75
2013,58967,128.58333333333334
2013,58968,123.66666666666667
2013,58969,177.25
2013,58970,154.58333333333334
2013,58971,101.83333333333333
2013,58973,95.0
2013,58974,123.58333333333333
2013,58975,146.91666666666666
2013,58978,193.0
2013,58979,112.83333333333333
2013,58980,100.16666666666667
2013,58981,204.25
2013,58982,65.0
2013,58983,95.58333333333333
2013,58984,83.08333333333333
2013,58985,111.5
2013,58986,119.91666666666667
2013,58988,125.0
2013,58989,130.25
2013,58990,142.0
2013,58991,146.66666666666666
2013,58993,124.91666666666667
2013,58994,130.91666666666666
2013,58995,152.25
2013,58997,135.75
2013,58998,114.16666666666667
2013,58999,104.5
2013,59000,122.16666666666667
2013,59001,123.16666666666667
2013,59002,106.0
2013,59003,113.66666666666667
2013,59006,127.41666666666667
2013,59007,94.0
2013,59008,128.91666666666666
2013,59009,127.58333333333333
2013,59010,122.91666666666667
2013,59011,94.16666666666667
2013,59012,92.0
2013,59013,155.41666666666666
2013,59014,139.41666666666666
2013,59015,116.33333333333333
2013,59016,136.08333333333334
2013,59017,113.66666666666667
2013,59018,125.58333333333333
2013,59019,119.75
2013,59020,133.75
2013,59022,148.5
2013,59023,131.0
2013,59024,141.83333333333334
2013,59025,107.75
2013,59026,87.0
2013,59028,143.5
2013,59029,129.83333333333334
2013,59030,155.58333333333334
2013,59031,115.91666666666667
2013,59032,93.41666666666667
2013,59033,113.0
2013,59034,151.58333333333334
2013,59036,127.25
2013,59037,130.16666666666666
2013,59038,132.75
2013,59040,126.58333333333333
2013,59043,134.25
2013,59044,148.5
2013,59046,138.0
2013,59047,91.41666666666667
2013,59048,105.33333333333333
2013,59050,115.16666666666667
2013,59051,109.08333333333333
2013,59052,109.5
2013,59053,97.41666666666667
2013,59054,96.91666666666667
2013,59055,107.66666666666667
2013,59056,139.91666666666666
2013,59057,111.58333333333333
2013,59058,96.58333333333333
2013,59059,88.91666666666667
2013,59062,100.41666666666667
2013,59063,89.91666666666667
2013,59064,101.5
2013,59066,76.41666666666667
2013,59067,120.08333333333333
2013,59068,113.75
2013,59069,81.0
2013,59070,82.0
2013,59071,141.33333333333334
2013,59072,123.91666666666667
2013,59074,131.91666666666666
2013,59075,133.75
2013,59077,168.5
2013,59078,182.83333333333334
2013,59079,179.75
2013,59080,119.08333333333333
2013,59081,155.41666666666666
2013,59082,95.33333333333333
2013,59085,107.33333333333333
2013,59087,75.0
2013,59088,95.91666666666667
2013,59089,82.91666666666667
2013,59090,89.41666666666667
2013,59091,129.66666666666666
2013,59095,111.25
2013,59096,90.83333333333333
2013,59097,113.25
2013,59099,105.16666666666667
2013,59100,104.41666666666667
2013,59102,97.91666666666667
2013,59103,101.66666666666667
2013,59105,115.25
2013,59107,112.91666666666667
2013,59110,125.91666666666667
2013,59112,104.25
2013,59113,133.25
2013,59115,101.25
2013,59116,97.16666666666667
2013,59118,98.58333333333333
2013,59120,80.0
2013,59122,97.66666666666667
2013,59124,108.5
2013,59125,87.0
2013,59127,91.25
2013,59128,115.08333333333333
2013,59129,94.58333333333333
2013,59130,110.16666666666667
2013,59131,107.25
2013,59133,121.66666666666667
2013,59134,105.0
2013,59135,121.58333333333333
2013,59137,137.0
2013,59138,92.08333333333333
2013,59140,95.41666666666667
2013,59143,84.33333333333333
2013,59144,90.58333333333333
2013,59145,52.0
2013,59146,92.33333333333333
2013,59148,59.25
2013,59150,118.75
2013,59151,73.58333333333333
2013,59152,55.833333333333336
2013,59153,77.58333333333333
2013,59154,58.416666666666664
2013,59155,73.16666666666667
2013,59157,65.16666666666667
2013,59159,49.166666666666664
2013,59160,80.08333333333333
2013,59164,96.33333333333333
2013,59166,92.25
2013,59167,89.83333333333333
2013,59169,83.33333333333333
2013,59171,95.16666666666667
2013,59173,84.16666666666667
2013,59174,96.66666666666667
2013,59175,86.08333333333333
2013,59176,93.75
2013,59178,140.83333333333334
2013,59183,126.0
2013,59185,232.16666666666666
2013,59187,64.5
2013,59188,132.25
2013,59189,186.91666666666666
2013,59193,76.33333333333333
2013,59194,74.25
2013,59195,97.16666666666667
2013,59198,99.91666666666667
2013,59199,176.33333333333334
2013,59200,130.5
2013,59202,224.58333333333334
2013,59207,118.83333333333333
2013,59208,194.0
2013,59209,118.16666666666667
2013,59210,114.08333333333333
2013,59211,104.33333333333333
2013,59212,92.08333333333333
2013,59214,108.16666666666667
2013,59216,112.66666666666667
2013,59217,117.5
2013,59218,138.08333333333334
2013,59221,118.58333333333333
2013,59222,142.91666666666666
2013,59223,111.25
2013,59224,110.91666666666667
2013,59225,113.16666666666667
2013,59226,125.41666666666667
2013,59228,146.83333333333334
2013,59229,81.16666666666667
2013,59230,111.5
2013,59231,105.0
2013,59232,117.33333333333333
2013,59233,99.33333333333333
2013,59234,175.25
2013,59235,108.16666666666667
2013,59236,185.0
2013,59238,155.25
2013,59239,109.33333333333333
2013,59240,130.33333333333334
2013,59242,107.66666666666667
2013,59243,106.0
2013,59245,92.75
2013,59247,214.75
2013,59248,338.1666666666667
2013,59249,131.75
2013,59250,137.5
2013,59251,137.58333333333334
2013,59252,114.33333333333333
2013,59254,114.25
2013,59255,178.08333333333334
2013,59256,85.08333333333333
2013,59257,124.0
2013,59259,88.83333333333333
2013,59260,76.41666666666667
2013,59261,108.16666666666667
2013,59262,258.6666666666667
2013,59264,99.58333333333333
2013,59265,126.25
2013,59266,154.83333333333334
2013,59267,102.08333333333333
2013,59268,103.5
2013,59269,88.25
2013,59271,131.83333333333334
2013,59272,131.25
2013,59273,102.66666666666667
2013,59274,89.83333333333333
2013,59276,116.5
2013,59279,129.08333333333334
2013,59280,189.5
2013,59281,167.41666666666666
2013,59282,173.91666666666666
2013,59283,202.08333333333334
2013,59284,137.75
2013,59285,285.6666666666667
2013,59286,140.58333333333334
2013,59287,200.08333333333334
2013,59291,176.58333333333334
2013,59294,143.41666666666666
2013,59297,105.41666666666667
2013,59298,209.0
2013,59300,124.91666666666667
2013,59303,139.33333333333334
2013,59308,158.5
2013,59313,180.83333333333334
2013,59315,154.66666666666666
2013,59318,230.91666666666666
2013,59319,141.16666666666666
2013,59320,196.33333333333334
2013,59321,162.66666666666666
2013,59324,157.16666666666666
2013,59325,177.25
2013,59332,189.91666666666666
2013,59336,142.83333333333334
2013,59338,155.41666666666666
2013,59339,205.5
2013,59343,172.41666666666666
2013,59344,147.41666666666666
2013,59345,121.41666666666667
2013,59346,
2013,59348,195.83333333333334
2013,59351,212.08333333333334
2013,59353,111.75
2013,59354,142.75
2013,59355,127.5
2013,59356,129.5
2013,59359,182.33333333333334
2013,59361,144.75
2013,59365,169.75
2013,59366,138.58333333333334
2013,59368,197.16666666666666
2013,59369,155.75
2013,59370,151.16666666666666
2013,59372,168.33333333333334
2013,59373,161.58333333333334
2013,59375,206.83333333333334
2013,59377,185.66666666666666
2013,59383,98.41666666666667
2013,59387,
2013,59391,121.08333333333333
2013,59401,105.91666666666667
2013,59405,83.08333333333333
2013,59410,129.83333333333334
2013,59411,58.416666666666664
2013,59413,133.66666666666666
2013,59415,152.58333333333334
2013,59416,109.58333333333333
2013,59417,127.66666666666667
2013,59427,137.16666666666666
2013,59431,98.0
2013,59433,138.33333333333334
2013,59444,89.75
2013,59453,76.5
2013,59455,86.75
2013,59459,111.33333333333333
2013,59460,120.25
2013,59463,141.25
2013,59464,88.16666666666667
2013,59465,93.25
2013,59469,107.58333333333333
2013,59470,93.91666666666667
2013,59475,70.66666666666667
2013,59476,99.08333333333333
2013,59500,99.16666666666667
2013,59508,95.91666666666667
2013,59512,101.08333333333333
2013,59517,72.33333333333333
2013,59539,103.25
2013,59547,83.5
2013,59556,147.75
2013,59677,99.41666666666667
2013,59678,148.58333333333334
2013,59687,195.41666666666666
2013,59689,140.66666666666666
2013,59690,137.83333333333334
2013,59694,129.0
2013,59696,100.91666666666667
2013,59698,82.58333333333333
2013,59735,79.83333333333333
2013,59743,113.58333333333333
2013,60081,127.5
2013,60085,100.91666666666667
2013,60093,140.75
2013,60094,131.66666666666666
2013,60100,158.25
2013,60102,138.41666666666666
2013,60103,152.58333333333334
2013,60104,184.16666666666666
2013,60108,136.0
2013,60113,100.0
2013,60114,132.41666666666666
2013,60115,135.0
2013,60117,138.83333333333334
2013,60119,132.66666666666666
2013,60123,128.5
2013,60125,199.41666666666666
2013,60126,172.08333333333334
2013,60130,162.33333333333334
2013,60133,125.83333333333333
2013,60135,140.16666666666666
2013,60146,142.66666666666666
2013,60149,145.75
2013,60151,125.83333333333333
2013,60153,103.33333333333333
2013,60156,116.33333333333333
2013,60158,93.75
2013,60159,95.66666666666667
2013,60162,146.66666666666666
2013,60165,80.83333333333333
2013,60166,86.58333333333333
2013,60169,119.75
2013,60171,80.41666666666667
2013,60205,108.08333333333333
2013,60207,142.33333333333334
2013,60208,141.08333333333334
2013,60211,121.33333333333333
2013,60213,139.25
2013,60222,142.83333333333334
2013,60223,127.91666666666667
2013,60224,134.33333333333334
2013,60226,113.91666666666667
2013,60228,121.75
2013,60231,111.66666666666667
2013,60238,137.16666666666666
2013,60242,133.5
2013,60243,117.41666666666667
2013,60246,96.25
2013,60247,107.58333333333333
2013,60250,139.08333333333334
2013,60251,129.0
2013,60252,129.66666666666666
2013,60255,131.91666666666666
2013,60256,130.83333333333334
2013,60259,121.83333333333333
2013,60261,120.91666666666667
2013,60262,157.5
2013,60263,158.08333333333334
2013,60264,132.5
2013,60265,89.5
2013,60267,135.5
2013,60268,173.08333333333334
2013,60271,119.41666666666667
2013,60278,128.66666666666666
2013,60287,130.83333333333334
2013,60293,157.08333333333334
2013,60298,132.83333333333334
2013,60299,135.75
2013,60303,131.25
2013,60304,150.58333333333334
2013,60314,185.91666666666666
2013,60316,145.91666666666666
2013,60317,118.0
2013,60318,117.33333333333333
2013,60320,158.91666666666666
2013,60324,182.91666666666666
2013,60325,178.0
2013,60329,163.25
2013,60330,161.16666666666666
2013,60331,163.91666666666666
2013,60334,215.25
2013,60335,171.08333333333334
2013,60336,158.0
2013,60340,163.75
2013,60341,134.75
2013,60342,158.5
2013,60347,159.25
2013,60363,104.83333333333333
2013,60364,124.25
2013,60365,89.25
2013,60366,118.91666666666667
2013,60367,114.83333333333333
2013,60368,123.41666666666667
2013,60369,140.66666666666666
2013,60370,137.83333333333334
2013,60371,55.083333333333336
2013,60375,151.83333333333334
2013,60388,82.83333333333333
2013,60389,121.16666666666667
2013,60390,100.0
2013,60392,
2013,60393,84.75
2013,60404,68.41666666666667
2013,60405,77.83333333333333
2013,60406,82.58333333333333
2013,60407,91.33333333333333
2013,60408,56.75
2013,60420,148.5
2013,60421,192.0
2013,60423,165.58333333333334
2013,60426,162.5
2013,60430,151.33333333333334
2013,60432,142.41666666666666
2013,60433,192.33333333333334
2013,60435,129.83333333333334
2013,60439,185.83333333333334
2013,60444,134.16666666666666
2013,60446,230.08333333333334
2013,60447,197.83333333333334
2013,60448,134.66666666666666
2013,60449,200.08333333333334
2013,60451,153.91666666666666
2013,60452,168.75
2013,60454,154.91666666666666
2013,60455,163.08333333333334
2013,60461,446.9166666666667
2013,60471,398.6666666666667
2013,60487,243.33333333333334
2013,60492,253.0
2013,60497,267.0
2013,60499,205.08333333333334
2013,60517,179.33333333333334
2013,60518,144.66666666666666
2013,60519,176.5
2013,60520,190.5
2013,60521,204.91666666666666
2013,60522,231.08333333333334
2013,60524,125.66666666666667
2013,60525,230.33333333333334
2013,60526,227.41666666666666
2013,60527,141.83333333333334
2013,60528,191.5
2013,60529,184.83333333333334
2013,60530,178.75
2013,60532,231.83333333333334
2013,60533,63.166666666666664
2013,60536,333.0833333333333
2013,60537,277.4166666666667
2013,60538,176.08333333333334
2013,60539,238.91666666666666
2013,60540,268.8333333333333
2013,60541,151.83333333333334
2013,60542,199.58333333333334
2013,60543,250.41666666666666
2013,60545,529.6666666666666
2013,60546,178.75
2013,60547,141.91666666666666
2013,60549,190.41666666666666
2013,60550,194.08333333333334
2013,60551,196.66666666666666
2013,60552,257.1666666666667
2013,60553,223.33333333333334
2013,60554,355.0833333333333
2013,60555,199.5
2013,60556,260.9166666666667
2013,60557,224.41666666666666
2013,60558,215.5
2013,60559,273.0833333333333
2013,60560,156.25
2013,60563,174.41666666666666
2013,60564,204.5
2013,60565,109.08333333333333
2013,60566,168.75
2013,60567,219.91666666666666
2013,60568,237.16666666666666
2013,60569,104.08333333333333
2013,60571,117.75
2013,60572,109.5
2013,60573,163.91666666666666
2013,60574,139.5
2013,60575,219.0
2013,60576,186.41666666666666
2013,60577,228.41666666666666
2013,60578,222.5
2013,60579,219.0
2013,60580,189.91666666666666
2013,60581,193.25
2013,60582,178.83333333333334
2013,60583,176.91666666666666
2013,60584,215.16666666666666
2013,60585,231.33333333333334
2013,60586,158.25
2013,60587,438.8333333333333
2013,60588,198.41666666666666
2013,60589,166.08333333333334
2013,60590,209.25
2013,60591,218.0
2013,60593,282.6666666666667
2013,60594,151.66666666666666
2013,60596,319.0833333333333
2013,60598,266.0
2013,60599,201.75
2013,60600,204.25
2013,60601,163.25
2013,60607,54.166666666666664
2013,60608,77.08333333333333
2013,60609,99.83333333333333
2013,60610,56.333333333333336
2013,60611,64.5
2013,60613,152.08333333333334
2013,60614,191.58333333333334
2013,60617,77.0
2013,60632,107.41666666666667
2013,60633,104.91666666666667
2013,60634,144.33333333333334
2013,60635,94.91666666666667
2013,60638,124.58333333333333
2013,60639,498.6666666666667
2013,60641,140.16666666666666
2013,60642,202.25
2013,60643,212.83333333333334
2013,60644,198.08333333333334
2013,60647,480.9166666666667
2013,60652,268.8333333333333
2013,60653,169.83333333333334
2013,60654,183.66666666666666
2013,60655,179.25
2013,60656,216.75
2013,60657,109.91666666666667
2013,60658,266.75
2013,60659,119.0
2013,60660,120.33333333333333
2013,60661,150.08333333333334
2013,60662,143.41666666666666
2013,60663,123.41666666666667
2013,60664,298.25
2013,60665,189.91666666666666
2013,60667,247.91666666666666
2013,60668,232.41666666666666
2013,60669,175.66666666666666
2013,60670,231.08333333333334
2013,60671,159.75
2013,60672,114.5
2013,60673,196.5
2013,60675,216.5
2013,60676,255.33333333333334
2013,60677,304.3333333333333
2013,60679,288.0833333333333
2013,60680,172.25
2013,60681,213.83333333333334
2013,60682,280.25
2013,60683,143.5
2013,60684,117.83333333333333
2013,60685,106.91666666666667
2013,60686,246.16666666666666
2013,60687,158.08333333333334
2013,60688,196.33333333333334
2013,60691,136.0
2013,60692,282.4166666666667
2013,60694,58.416666666666664
2013,60695,112.83333333333333
2013,60696,94.0
2013,60697,70.91666666666667
2013,60699,206.0
2013,60701,172.0
2013,60705,198.25
2013,60706,78.16666666666667
2013,60707,84.08333333333333
2013,60708,66.16666666666667
2013,60709,70.66666666666667
2013,60714,176.0
2013,60716,165.91666666666666
2013,60717,199.33333333333334
2013,60718,228.58333333333334
2013,60719,156.66666666666666
2013,60720,205.0
2013,60722,496.0833333333333
2013,60723,199.5
2013,60724,273.5833333333333
2013,60725,260.4166666666667
2013,60726,290.1666666666667
2013,60727,207.0
2013,60728,236.16666666666666
2013,60729,199.66666666666666
2013,60730,364.1666666666667
2013,60731,229.16666666666666
2013,60732,251.91666666666666
2013,60733,248.08333333333334
2013,60734,174.83333333333334
2013,60735,181.5
2013,60736,243.75
2013,60737,200.08333333333334
2013,60738,227.91666666666666
2013,60739,238.08333333333334
2013,60740,238.66666666666666
2013,60741,234.58333333333334
2013,60742,257.5
2013,60744,241.58333333333334
2013,60745,206.75
2013,60746,170.83333333333334
2013,60747,232.0
2013,60748,209.0
2013,60749,194.75
2013,60750,191.75
2013,60751,322.4166666666667
2013,60752,255.0
2013,60753,243.5
2013,60754,253.25
2013,60756,202.66666666666666
2013,60757,219.08333333333334
2013,60759,301.1666666666667
2013,60762,283.8333333333333
2013,60763,176.0
2013,60765,199.33333333333334
2013,60766,406.25
2013,60767,181.25
2013,60768,216.58333333333334
2013,60769,325.0
2013,60770,141.91666666666666
2013,60771,221.5
2013,60772,394.3333333333333
2013,60773,171.58333333333334
2013,60774,172.66666666666666
2013,60775,166.75
